registration,make,model,primaryColour,fuelType
BO55PGM,AUDI,"RS Q3 TFSI QUATTRO S-A",Grey,Petrol
BO55APG,"LAND ROVER","RANGE ROVER VELAR",Blue,Petrol
BO55UUU,AUDI,A7,White,Diesel
BO55HYE,BMW,"420I M SPORT AUTO",Grey,Petrol
BO55NAR,VOLKSWAGEN,GOLF,Silver,Petrol
BO55URN,FORD,FOCUS,Blue,Petrol
BO55HME,VAUXHALL,ASTRA,Silver,Diesel
BO55OEF,FORD,TRANSIT,White,Diesel
BO55WWE,VOLKSWAGEN,"CARAVELLE EXECUTIVE TDI S-A",Black,Diesel
BO55UDZ,MERCEDES-BENZ,SLC,Black,Diesel
BO55JOR,PORSCHE,"911 TURBO S S-A",Grey,Petrol
BO55DRC,BMW,I8,Grey,"Hybrid Electric (Clean)"
BO55ABS,BENTLEY,CONTINENTAL,Black,Petrol
BO55ABW,FORD,RANGER,White,Diesel
BO55ADO,"LAND ROVER","RANGE ROVER SPORT",Red,Diesel
BO55AJF,DUCATI,"1199 PANIGALE TRICOLORE",Multi-colour,Petrol
BO55AMC,PORSCHE,BOXSTER,Red,Petrol
BO55AMT,FORD,"RANGER WILDTRAK ECOBLUE 4X4 A",White,Diesel
BO55APF,MERCEDES-BENZ,E,Black,Diesel
BO55BBF,MERCEDES-BENZ,G,Red,Petrol
BO55BCW,BMW,"X6 XDRIVE30D M SPORT MHEV AUTO",Grey,"Electric Diesel"
BO55BEA,RENAULT,TRAFIC,Grey,Diesel
BO55BGZ,AUDI,TT,White,Petrol
BO55BLT,JAGUAR,X-TYPE,Green,Diesel
BO55BLZ,VOLKSWAGEN,GOLF,White,Petrol
BO55BME,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
BO55BMS,"LAND ROVER","RANGE ROVER AUTOBIO D MHEV A",Grey,Diesel
BO55CBM,"LAND ROVER","RANGE ROVER SPORT",Grey,Diesel
BO55CCG,FORD,"TRANSIT CUSTOM 300 MS-RT EBL A",Red,Diesel
BO55CDW,FORD,RANGER,Black,Diesel
BO55CNB,JAGUAR,"I-PACE BLACK",Blue,Electric
BO55CUU,BMW,M3,Blue,Petrol
BO55CVH,ISUZU,"D-MAX V-CROSS",Grey,Diesel
BO55CWR,BMW,"R 1300 GS ADVENTURE TE",Blue,Petrol
BO55CWS,PORSCHE,CAYMAN,Blue,Petrol
BO55DCX,"LAND ROVER","RANGE ROVER SPORT",Black,Petrol
BO55DLX,MERCEDES-BENZ,VITO,Silver,Diesel
BO55DOK,FORD,TRANSIT,White,Diesel
BO55DOV,MERCEDES-BENZ,VITO,Black,Diesel
BO55DSZ,NISSAN,"QASHQAI NCONNCTA DIGT MHEV CVT",Black,"Hybrid Electric (Clean)"
BO55DWA,"LAND ROVER","DEFENDER XDYNAMIC HSE D MHEV A",Black,Diesel
BO55EKJ,VOLKSWAGEN,TRANSPORTER,Blue,Diesel
BO55ERW,PEUGEOT,3008,Blue,Diesel
BO55FAY,MERCEDES-BENZ,GLE,Black,Diesel
BO55FBL,"RAM 1500 4X4","",Black,Petrol
BO55FBO,MERCEDES-BENZ,S-Class,White,Diesel
BO55FCH,CHRYSLER-JEEP,300,Blue,Diesel
BO55FEL,VAUXHALL,VIVARO,Grey,Diesel
BO55FGM,VAUXHALL,ASTRA,Black,Diesel
BO55FVC,AUDI,Q7,White,Diesel
BO55FWL,"LAND ROVER",DISCOVERY,Black,Diesel
BO55GAV,BMW,"5 SERIES",Black,Diesel
BO55GBG,KIA,SPORTAGE,Grey,Petrol
BO55GMR,FORD,FIESTA,Black,Petrol
BO55GRK,FORD,RANGER,Black,Diesel
BO55GSD,FORD,TRANSIT,Black,Diesel
BO55GTU,MERCEDES-BENZ,C,Grey,Petrol
BO55HCM,RENAULT,TRAFIC,Blue,Diesel
BO55HFG,"ROLLS ROYCE","CULLINAN V12 AUTO",Black,Petrol
BO55HGS,MAN,"TGE 3.180 LION XP",White,Diesel
BO55HMX,HYUNDAI,IONIQ,Silver,"Hybrid Electric (Clean)"
BO55HOG,HARLEY-DAVIDSON,"FLHXSE CVO SGLIDE 1923 18",Multi-colour,Petrol
BO55HVV,"HARLEY DAVIDSON",XL883N,Black,Petrol
BO55HWH,BMW,630,Black,Petrol
BO55JEE,BMW,X5,Grey,Diesel
BO55JFJ,MERCEDES-BENZ,CLS,Silver,Petrol
BO55JLW,VOLKSWAGEN,PASSAT,White,Diesel
BO55JRP,NISSAN,NAVARA,Silver,Diesel
BO55JTA,MERCEDES-BENZ,VITO,Silver,Diesel
BO55JUA,MAZDA,CX-5,Red,Diesel
BO55KCJ,MITSUBISHI,L200,White,Diesel
BO55KEC,VOLKSWAGEN,TRANSPORTER,Grey,Diesel
BO55KHZ,AUDI,A5,White,Petrol
BO55KOD,"LAND ROVER","RANGE ROVER SPORT",Blue,"Hybrid Electric (Clean)"
BO55KUC,BMW,"1 SERIES",White,Petrol
BO55KUU,MERCEDES-BENZ,E,Black,Petrol
BO55KWD,PORSCHE,macan,White,Petrol
BO55KYA,AUDI,A1,Yellow,Petrol
BO55LLW,VAUXHALL,MOKKA,Grey,Diesel
BO55LMR,PORSCHE,"MACAN GTS S-A",Grey,Petrol
