id,registration,make,model,primaryColour,fuelType
36214,BO55MHP,AUDI,Q7,WHITE,DIESEL
54626,BO55BBU,BMW,Unknown,SILVER,PETROL
57572,BO55HWW,AUDI,A6,SILVER,DIESEL
74915,BO55TRH,FERRARI,"FF V12",GREY,PETROL
79425,BO55CCC,MERCEDES,S-Class,BLACK,DIESEL
87538,BO55JMA,JAGUAR,XF,BLUE,DIESEL
95650,BO55DNL,"LAND ROVER","RANGE ROVER SPORT",WHITE,DIESEL
98525,BO55UFT,"LAND ROVER","RANGE ROVER SPORT",SILVER,PETROL
99814,BO55GYA,MERCEDES,CLS,BLACK,DIESEL
103591,BO55KVB,MERCEDES,CLK,BLACK,PETROL
111796,BO55NYD,BENTLEY,CONTINENTAL,Black,Petrol
113753,BO55NDL,"LAND ROVER","RANGE ROVER SPORT",Silver,Petrol
142355,BO55CRZ,"EASY RIDER","M 50 JC 50 Q-7",Black,Petrol
154235,BO55LYN,MERCEDES-BENZ,SL,White,Petrol
165489,BO55KEY,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
172499,BO55JTA,MERCEDES-BENZ,VITO,Silver,Diesel
176355,BO55DKC,BMW,"3 SERIES",Grey,Diesel
209338,BO55JLX,"LAND ROVER","RANGE ROVER",Black,Diesel
234814,BO55SFR,"ASTON MARTIN",VANTAGE,Black,Petrol
242807,BO55ODD,BENTLEY,CONTINENTAL,Black,Petrol
246787,BO55EUK,AUDI,A8,Red,Petrol
254491,BO55NEP,PORSCHE,CAYENNE,White,Diesel
259141,BO55MUK,AUDI,Q7,White,Diesel
266294,BO55LWL,BENTLEY,CONTINENTAL,Black,Petrol
280505,BO55BAR,BENTLEY,CONTINENTAL,Black,Petrol
281859,BO55JOB,BENTLEY,AZURE,Blue,Petrol
287802,BO55SUT,"LAND ROVER","RANGE ROVER SPORT",White,Diesel
288206,BO55KSU,FERRARI,F430,Red,Petrol
289457,BO55AJL,"LAND ROVER","RANGE ROVER",Black,Diesel
